"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1103","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1453","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","947","Проверка перехода из корзины к оформлению заказа: шаг 1","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkSuccessfulSwitchToCheckout"
"","1521","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","482","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","693","Проверка корректного удаление товара из корзины","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkRemoveItem"
"","497","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","1433","Проверка успешного заполнения формы заказа и переход к шагу 2","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkFormWithPositiveData"
"","1377","Проверка корректности товара в заказе перед завершением оформления","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkOverview"
"","1038","Проверка возвращения в корзину из оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkReturnShopCartByButtonCancel"
"","663","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"Проверка успешного входа в систему с валидными данными","594","Проверка успешного входа в систему с валидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1444","Проверка корректного завершения оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkComplete"
"","683","Проверка добавления конкретного товара в корзину","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
