"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1668","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","2128","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","1475","Проверка корректности товара в заказе перед завершением оформления","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkOverview"
"","1454","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1354","Проверка возвращения в корзину из оформления заказа","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkReturnShopCartByButtonCancel"
"","898","Проверка добавления конкретного товара в корзину","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","1304","Проверка перехода из корзины к оформлению заказа: шаг 1","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkSuccessfulSwitchToCheckout"
"","746","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"Проверка успешного входа в систему с валидными данными","863","Проверка успешного входа в систему с валидными данными","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","2074","Проверка успешного заполнения формы заказа и переход к шагу 2","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkFormWithPositiveData"
"","1145","Проверка корректного удаление товара из корзины","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CartTest","Chrome","tests.CartTest","checkRemoveItem"
"","1474","Проверка корректного завершения оформления заказа","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkComplete"
"","1544","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","654","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
