"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","637","Проверка добавления конкретного товара в корзину","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
"Проверка успешного входа в систему с валидными данными","519","Проверка успешного входа в систему с валидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1093","Проверка перехода из корзины к оформлению заказа: шаг 1","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkSuccessfulSwitchToCheckout"
"","466","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","1196","Проверка корректного завершения оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkComplete"
"","1395","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","738","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","1129","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1103","Проверка возвращения в корзину из оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkReturnShopCartByButtonCancel"
"","1515","Проверка корректности товара в заказе перед завершением оформления","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkOverview"
"","1144","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1403","Проверка успешного заполнения формы заказа и переход к шагу 2","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkFormWithPositiveData"
"","481","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","680","Проверка корректного удаление товара из корзины","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkRemoveItem"
