"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1058","Проверка возвращения в корзину из оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkReturnShopCartByButtonCancel"
"","1108","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1157","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1561","Проверка корректного завершения оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkComplete"
"","1223","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1005","Проверка перехода из корзины к оформлению заказа: шаг 1","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkSuccessfulSwitchToCheckout"
"","743","Проверка добавления конкретного товара в корзину","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","1717","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"Проверка успешного входа в систему с валидными данными","822","Проверка успешного входа в систему с валидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","797","Проверка корректного удаление товара из корзины","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkRemoveItem"
"","1242","Проверка корректности товара в заказе перед завершением оформления","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkOverview"
"","1530","Проверка успешного заполнения формы заказа и переход к шагу 2","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkFormWithPositiveData"
"","516","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","537","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
