"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11582","Проверка добавления конкретного товара в корзину","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","1536","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1129","Проверка корректности товара в заказе перед завершением оформления","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkOverview"
"","688","Проверка корректного удаление товара из корзины","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkRemoveItem"
"","1","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","skipped","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","1380","Проверка возвращения в корзину из оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkReturnShopCartByButtonCancel"
"","1616","Проверка корректного завершения оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkComplete"
"","3186","Проверка успешного заполнения формы заказа и переход к шагу 2","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkFormWithPositiveData"
"","0","Настройка браузера","SauceDemo crossBrowser suite","2026-06-10","broken","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","setUp"
"Проверка успешного входа в систему с валидными данными","1","Проверка успешного входа в систему с валидными данными","SauceDemo crossBrowser suite","2026-06-10","skipped","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","skipped","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","1","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","skipped","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","969","Проверка перехода из корзины к оформлению заказа: шаг 1","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkSuccessfulSwitchToCheckout"
"","1282","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1412","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
